date,value
1931-12-30,77.1400
1931-12-31,77.9000
1932-01-02,74.6200
1932-01-04,71.5900
1932-01-05,71.2400
1932-01-06,76.3100
1932-01-07,78.0300
1932-01-08,81.8000
1932-01-09,79.9800
1932-01-11,80.4400
1932-01-12,79.3900
1932-01-13,84.3600
1932-01-14,85.3500
1932-01-15,85.8800
1932-01-16,84.4400
1932-01-18,81.4500
1932-01-19,81.1000
1932-01-20,83.5700
1932-01-21,83.4200
1932-01-22,78.8100
1932-01-23,77.9800
1932-01-25,78.6600
1932-01-26,79.7600
1932-01-27,77.8200
1932-01-28,76.7300
1932-01-29,76.5500
1932-01-30,76.1900
1932-02-01,79.6300
1932-02-02,77.8200
1932-02-03,78.2600
1932-02-04,77.6600
1932-02-05,75.0000
1932-02-06,74.4500
1932-02-08,73.4500
1932-02-09,72.3800
1932-02-10,71.8000
1932-02-11,78.6000
1932-02-13,85.8200
1932-02-15,82.1800
1932-02-16,85.7500
1932-02-17,82.2400
1932-02-18,85.1300
1932-02-19,85.9800
1932-02-20,83.5900
1932-02-23,80.2600
1932-02-24,82.7300
1932-02-25,82.0500
1932-02-26,82.0900
1932-02-27,82.0200
1932-02-29,81.4400
1932-03-01,81.8700
1932-03-02,86.2800
1932-03-03,86.1300
1932-03-04,86.1100
1932-03-05,88.4900
1932-03-07,87.1600
1932-03-08,88.7800
1932-03-09,86.9400
1932-03-10,86.2500
1932-03-11,83.6100
1932-03-12,84.5200
1932-03-14,81.1200
1932-03-15,81.0200
1932-03-16,79.1100
1932-03-17,80.8700
1932-03-18,78.8200
1932-03-19,78.0900
1932-03-21,79.9000
1932-03-22,79.5500
1932-03-23,78.6400
1932-03-24,77.9900
1932-03-26,75.6900
1932-03-28,75.0900
1932-03-29,75.5000
1932-03-30,77.1500
1932-03-31,73.2800
1932-04-01,72.1800
1932-04-02,71.3000
1932-04-04,71.1900
1932-04-05,68.0700
1932-04-06,66.4600
1932-04-07,66.2000
1932-04-08,62.9000
1932-04-09,64.4800
1932-04-11,62.0400
1932-04-12,62.3300
1932-04-13,61.1800
1932-04-14,63.2700
1932-04-15,64.4900
1932-04-16,63.3900
1932-04-18,60.8500
1932-04-19,59.7500
1932-04-20,59.4600
1932-04-21,62.0100
1932-04-22,58.8800
1932-04-23,59.2200
1932-04-25,58.9200
1932-04-26,59.7100
1932-04-27,61.2800
1932-04-28,58.2400
1932-04-29,55.9300
1932-04-30,56.1100
1932-05-02,55.3700
1932-05-03,54.1500
1932-05-04,54.8800
1932-05-05,54.1000
1932-05-06,59.0100
1932-05-07,58.0400
1932-05-09,57.0400
1932-05-10,57.6800
1932-05-11,57.8300
1932-05-12,55.6200
1932-05-13,53.4600
1932-05-14,52.4800
1932-05-16,53.9600
1932-05-17,54.0400
1932-05-18,52.8100
1932-05-19,53.1400
1932-05-20,53.3100
1932-05-21,53.0400
1932-05-23,52.9800
1932-05-24,50.8500
1932-05-25,49.1000
1932-05-26,49.9900
1932-05-27,47.4700
1932-05-28,47.7000
1932-05-31,44.7400
1932-06-01,44.9300
1932-06-02,47.2500
1932-06-03,48.4000
1932-06-04,50.8800
1932-06-06,49.3200
1932-06-07,47.4700
1932-06-08,45.2000
1932-06-09,45.3200
1932-06-10,48.9400
1932-06-11,48.2600
1932-06-13,48.1100
1932-06-14,49.0000
1932-06-15,50.6200
1932-06-16,50.3400
1932-06-17,47.5600
1932-06-18,47.5500
1932-06-20,47.8000
1932-06-21,46.5800
1932-06-22,46.2700
1932-06-23,46.8300
1932-06-24,44.8400
1932-06-25,44.7600
1932-06-27,42.9300
1932-06-28,43.1800
1932-06-29,43.6600
1932-06-30,42.8400
1932-07-01,44.3900
1932-07-05,43.4700
1932-07-06,44.0800
1932-07-07,41.8100
1932-07-08,41.2200
